자치구,동,지하철 주변 버스정류장 수,
서초구,반포4동,3,"고속터미널, 구반포, 신반포"
서초구,방배본동,0,"방배, 내방, 남태령"
서초구,방배1동,3,"방배, 내방, 남태령"
서초구,방배2동,2,"방배, 내방, 남태령"
서초구,방배3동,2,"방배, 내방, 남태령"
서초구,방배4동,2,"방배, 내방, 남태령"
서초구,양재1동,6,"양재시민의숲, 양재"
서초구,양재2동,2,"양재시민의숲, 청계산, 양재"
서초구,내곡동,3,"청계싼입구, 일원"
강남구,신사동,7,"신사역, 압구정로데오, 압구정"
강남구,논현1동,0,"학동, 언주, 논현"
강남구,논현2동,1,"학동, 언주, 논현"
강남구,삼성1동,2,"선릉, 삼성, 강남구청"
강남구,삼성2동,0,"선릉, 삼성, 강남구청"
강남구,대치1동,2,"한티, 학여울, 대치"
강남구,대치4동,0,"한티, 학여울, 대치"
강남구,역삼1동,2,"강남, 역삼, 신논현"
강남구,역삼2동,1,"강남, 역삼, 신논현"
강남구,도곡1동,0,"매봉, 도곡, 양재"
강남구,도곡2동,3,"매봉, 도곡, 양재"
강남구,개포1동,0,"개포동, 구룡, 대모산입구"
강남구,개포4동,0,"개포동, 구룡, 대모산입구"
